tags,tag_count,similar_tracks,tracks_count
makes me happy,89.0,Fantasies (feat. Brent Faiyaz & Salaam Remi),142
Pretty Woman,89.0,2007,142
slowcore,89.0,Superstar,142
No One,89.0,I Stand Alone,142
my music,88.0,Alive,142
good shit,88.0,Where This Flower Blooms (feat. Frank Ocean),142
Wherever,88.0,Slow Down,142
winter,88.0,Meat Grinder,142
Lana Del Rey,88.0,Drama,142
poprock,88.0,Ain't It Funny,142
intricate melodic phrasing,88.0,Comme des Garçons (Like the Boys),142
2017 single,88.0,Stronger (What Doesn't Kill You),141
Favorite Bands,87.0,Pain,141
childhood,87.0,Crush,141
Crazy Train,87.0,Talk,141
Stronger,87.0,Rich Girl,141
garbage,87.0,Black Beatles,141
Everytime We Touch,87.0,Stricken,141
Like Crazy,87.0,Hush,141
2003,87.0,Show Me How To Live,141
Classical,87.0,Carry On,140
drums,86.0,Semi-Charmed Life,140
Miss Murder,86.0,HUMBLE.,140
synthwave,86.0,we'll never have sex,140
a clear focus on recording studio production,86.0,Sentimental,140
dancehall,86.0,Wasted Summers,140
Little Wing,86.0,About You,140
Rolling Stone 500 Greatest Songs of All Time,86.0,Bounce Back,140
diva,85.0,Hive (feat. Vince Staples & Casey Veggies),140
Breath,85.0,Reptilia,140
nu-disco,85.0,Embarrassed (feat. Travis Scott),140
Tag,85.0,Family Affair,140
modern rock,85.0,Cinnamon Girl,140
Xtal,85.0,Still Got It,140
electronic rock,85.0,Nothing Matters,140
deep house,85.0,Ski,140
my favorite,85.0,Let The Light In (feat. Father John Misty),140
japanese,84.0,Locked Out of Heaven,140
September,84.0,Down With the Sickness,139
Incinerate,84.0,Mr. Glock,139
Thank U,84.0,Nikes on My Feet,139
2000,84.0,Baby!,139
Heart-Shaped Box,83.0,XXL,139
Fave,83.0,Come & Get It,139
One Step Closer,83.0,Radioactive,139
Mercy,83.0,The Blonde,139
Kon Queso,83.0,I'm So Sick,139
90's,83.0,Do It Like That,139
makes me cry,83.0,Brown Eyed Girl,139
Exchange,83.0,Hard,139
eletronic,83.0,Better Than Me,139
Work It,82.0,Physical,138
duet,82.0,Doomsday,138
loud,82.0,ceilings,138
power,82.0,Truth or dare,138
Dope,82.0,Team,138
Somebody to Love,82.0,Glock In My Lap,138
mona lisa,82.0,Slow It Down,138
canada,82.0,Undercover Martyn,138
All time favourites,82.0,Mama's Boy,138
late night,82.0,Gotta Have It,138
best of 2012,81.0,In My Head,138
